module,tag,method,path,scoping,auth_required,path_params,required_query,query_params,has_body,documented_responses,rspec_coverage,rspec_file,summary
Appointment Calendar,Resources,PUT,/salons/{salon_id}/resources/{id},path,yes,salon_id|id,,,yes,200|401|404|422,covered,spec/requests/appointment_calendar_swagger_doc_spec.rb,Update a resource
Appointment Calendar,Waitlist,GET,/salons/{salon_id}/waitlist_entries,path,yes,salon_id,,status|for_date,no,200|401,covered,spec/requests/calendar_resources_waitlist_spec.rb,List waiting guests
Appointment Calendar,Waitlist,POST,/salons/{salon_id}/waitlist_entries,path,yes,salon_id,,,yes,201|401|422,covered,spec/requests/calendar_resources_waitlist_spec.rb,Add a guest to the waitlist
Appointment Calendar,Waitlist,DELETE,/salons/{salon_id}/waitlist_entries/{id},path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/calendar_resources_waitlist_spec.rb,Remove a waitlist entry
Appointment Calendar,Waitlist,POST,/salons/{salon_id}/waitlist_entries/{id}/auto_fill,path,yes,salon_id|id,,for_date|preferred_staff_id,no,200|401|404|409|422,covered,spec/requests/calendar_resources_waitlist_spec.rb,Seat the next waiting guest into the earliest fitting gap
Attendance,Dashboard,GET,/salons/{salon_id}/attendance/daily,path,yes,salon_id,,date|refresh,no,200|401|404|422,covered,spec/requests/attendance/daily_spec.rb,"Dashboard tab — KPI summary, staff table and shift overview"
Attendance,Roster,GET,/salons/{salon_id}/attendance/employees,path,yes,salon_id,,include_inactive,no,200|401|404,covered,spec/requests/attendance/employees_spec.rb,Employee roster
Attendance,Mark Attendance,PUT,/salons/{salon_id}/attendance/entries,path,yes,salon_id,,,yes,200|201|400|401|404|422,covered,spec/requests/attendance/entries_spec.rb,Create or correct an attendance entry
Attendance,Mark Attendance,DELETE,/salons/{salon_id}/attendance/entries/{id},path,yes,salon_id|id,,,no,200|401|404,GAP,,Delete an attendance entry
Attendance,History,GET,/salons/{salon_id}/attendance/export,path,yes,salon_id,,from|to|employee_id|format,no,200|401|404|422,covered,spec/requests/attendance/export_spec.rb,Export the summary as CSV or Excel
Attendance,History,GET,/salons/{salon_id}/attendance/logs,path,yes,salon_id,,from|to|employee_id|page|per_page,no,200|401|404|422,covered,spec/requests/attendance/history_spec.rb,History tab — detailed log
Attendance,History,GET,/salons/{salon_id}/attendance/summary,path,yes,salon_id,,from|to|employee_id,no,200|401|404|422,covered,spec/requests/attendance/history_spec.rb,History tab — per-employee summary for a range
Attendance,Block Time,GET,/salons/{salon_id}/attendance/time_blocks,path,yes,salon_id,,from|to|employee_id|page|per_page,no,200|401|404|422,covered,spec/requests/attendance/time_blocks_spec.rb,Active and upcoming blocks
Attendance,Block Time,POST,/salons/{salon_id}/attendance/time_blocks,path,yes,salon_id,,,yes,201|400|401|404|422,covered,spec/requests/attendance/time_blocks_spec.rb,Block a staff member for a window of time
Attendance,Block Time,DELETE,/salons/{salon_id}/attendance/time_blocks/{id},path,yes,salon_id|id,,,no,200|401|404,GAP,,Unblock
Billing & Invoicing,Bills,GET,/api/v1/billing/bills,global,yes,,,page|per_page|status|q|from|to|sort,no,200|401|403|422,covered,spec/requests/api/v1/billing/bills_history_spec.rb,List bills
Billing & Invoicing,Bills,POST,/api/v1/billing/bills,global,yes,,,,yes,200|201|401|403|422,covered,spec/requests/api/v1/billing/bills_spec.rb,"Create a bill (draft, or checkout in one call)"
Billing & Invoicing,Bills,POST,/api/v1/billing/bills/calculate,global,yes,,,,yes,200|401|403|422,covered,spec/requests/api/v1/billing/bill_fulfilment_spec.rb,Preview totals without persisting
Billing & Invoicing,Bills,POST,/api/v1/billing/bills/finalize,global,yes,,,,yes,200|201|401|403|422,covered,spec/requests/api/v1/billing/bill_fulfilment_spec.rb,Create and finalize in one call
Billing & Invoicing,Bills,DELETE,/api/v1/billing/bills/{id},token-only/IDOR,yes,id,,,no,200|401|403|404|409,covered,spec/requests/api/v1/billing/bill_audit_trail_spec.rb,Discard a draft bill
Billing & Invoicing,Bills,GET,/api/v1/billing/bills/{id},token-only/IDOR,yes,id,,,no,200|401|403|404,covered,spec/requests/api/v1/billing/bills_spec.rb,Get a bill
Billing & Invoicing,Bills,PATCH,/api/v1/billing/bills/{id},token-only/IDOR,yes,id,,,yes,200|401|403|404|409|422,covered,spec/requests/api/v1/billing/bills_spec.rb,Update a draft bill
Billing & Invoicing,Bills,GET,/api/v1/billing/bills/{id}/audit_logs,token-only/IDOR,yes,id,,,no,200|401|403|404,covered,spec/requests/api/v1/billing/bill_audit_trail_spec.rb,Audit trail for a bill
Billing & Invoicing,Bills,GET,/api/v1/billing/bills/{id}/deliveries,token-only/IDOR,yes,id,,,no,200|401|403|404,covered,spec/requests/api/v1/billing/bill_deliveries_spec.rb,Invoice delivery history
Billing & Invoicing,Bills,POST,/api/v1/billing/bills/{id}/finalize,token-only/IDOR,yes,id,,,yes,201|401|403|404|409|422,covered,spec/requests/api/v1/billing/bill_audit_trail_spec.rb,Finalize a draft bill
Billing & Invoicing,Bills,POST,/api/v1/billing/bills/{id}/payments,token-only/IDOR,yes,id,,,yes,200|401|403|404|409|422,covered,spec/requests/api/v1/billing/record_bill_payment_spec.rb,Collect against a part-paid bill
Billing & Invoicing,Bills,GET,/api/v1/billing/bills/{id}/pdf,token-only/IDOR,yes,id,,format|width,no,200|401|403|404|422,covered,spec/requests/api/v1/billing/pdf_invoice_spec.rb,Download the invoice PDF
Billing & Invoicing,Bills,PATCH,/api/v1/billing/bills/{id}/refund,token-only/IDOR,yes,id,,,yes,200|401|403|404|409|422,covered,spec/requests/api/v1/billing/bill_audit_trail_spec.rb,Refund a settled bill
Billing & Invoicing,Bills,POST,/api/v1/billing/bills/{id}/share,token-only/IDOR,yes,id,,,yes,202|401|403|404|422,covered,spec/requests/api/v1/billing/bill_audit_trail_spec.rb,Share the invoice
Billing & Invoicing,Catalogue,GET,/api/v1/billing/catalogue/search,global,yes,,q,q|types|limit,no,200|401|422|429,covered,spec/requests/billing_throttling_spec.rb,Unified catalogue search
Billing & Invoicing,Config,POST,/api/v1/billing/coupons/validate,global,yes,,,,yes,200|401|422|429,covered,spec/requests/billing_throttling_spec.rb,Validate a coupon code
Billing & Invoicing,Customers,POST,/api/v1/billing/customers,global,yes,,,,yes,201|401|422,covered,spec/requests/api/v1/billing/customers_create_spec.rb,Create a walk-in customer
Billing & Invoicing,Customers,GET,/api/v1/billing/customers/search,global,yes,,,q|limit,no,200|401|422,covered,spec/requests/api/v1/billing/customers_search_spec.rb,Find a customer
Billing & Invoicing,Customers,GET,/api/v1/billing/customers/{id}/purchase_history,token-only/IDOR,yes,id,,limit,no,200|401|404,covered,spec/requests/api/v1/billing/purchase_history_spec.rb,What this customer usually buys
Billing & Invoicing,Customers,GET,/api/v1/billing/customers/{id}/recommended_offers,token-only/IDOR,yes,id,,subtotal,no,200|401|404,covered,spec/requests/api/v1/billing/recommended_offers_spec.rb,Offers the cashier can apply
Billing & Invoicing,Catalogue,GET,/api/v1/billing/packages,global,yes,,,kind|q,no,200|401|422,covered,spec/requests/api/v1/billing/packages_spec.rb,List sellable packages
Billing & Invoicing,Catalogue,GET,/api/v1/billing/products,global,yes,,,brand_id|q|active|in_stock,no,200|401|404|422,covered,spec/requests/api/v1/billing/products_spec.rb,List retail products with their brands
Billing & Invoicing,Catalogue,GET,/api/v1/billing/services,global,yes,,,category_id|q,no,200|401|404|422,covered,spec/requests/api/v1/billing/services_spec.rb,List services with their categories
Billing & Invoicing,Catalogue,GET,/api/v1/billing/staff,global,yes,,,service_id|active|q,no,200|401|404|422,covered,spec/requests/api/v1/billing/staff_spec.rb,List staff available to attribute a line to
Billing & Invoicing,Config,GET,/api/v1/billing/summary,global,yes,,,range|date,no,200|401|422,covered,spec/requests/api/v1/billing/summary_spec.rb,Till summary
Billing & Invoicing,Config,GET,/api/v1/billing/tax_config,global,yes,,,,no,200|401|422,covered,spec/requests/billing_throttling_spec.rb,GST configuration for the salon
Billing & Invoicing,Customer Memberships,DELETE,/customer_memberships/{id},token-only/IDOR,yes,id,,,no,204|403|404,covered,spec/requests/customer_memberships_destroy_spec.rb,Delete Customer Membership
Billing & Invoicing,Customer Memberships,GET,/customer_memberships/{id},token-only/IDOR,yes,id,,,no,200|403|404,covered,spec/requests/customer_memberships_show_spec.rb,Get Customer Membership Details
Billing & Invoicing,Customer Memberships,PATCH,/customer_memberships/{id},token-only/IDOR,yes,id,,,yes,200|403|404|422,covered,spec/requests/customer_memberships_update_spec.rb,Update Customer Membership Status
Billing & Invoicing,Customer Memberships,GET,/salons/{salon_id}/customer_memberships,path,yes,salon_id,,status|salon_customer_profile_id,no,200|403|404,covered,spec/requests/customer_memberships_index_spec.rb,List Salon Customer Memberships
Billing & Invoicing,Membership Plans,GET,/salons/{salon_id}/membership_plans,path,yes,salon_id,,,no,200|404,covered,spec/requests/membership_plans_index_spec.rb,List Membership Plans
Billing & Invoicing,Membership Plans,POST,/salons/{salon_id}/membership_plans,path,yes,salon_id,,,yes,201|403|404|422,covered,spec/requests/membership_plans_create_spec.rb,Create Membership Plan
Billing & Invoicing,Membership Plans,DELETE,/salons/{salon_id}/membership_plans/{id},path,yes,salon_id|id,,,no,204|403|404|422,covered,spec/requests/membership_plans_destroy_spec.rb,Delete Membership Plan
Billing & Invoicing,Membership Plans,GET,/salons/{salon_id}/membership_plans/{id},path,yes,salon_id|id,,,no,200|404,covered,spec/requests/membership_plans_show_spec.rb,Get Membership Plan Details
Billing & Invoicing,Membership Plans,PATCH,/salons/{salon_id}/membership_plans/{id},path,yes,salon_id|id,,,yes,200|403|404|422,covered,spec/requests/membership_plans_update_spec.rb,Update Membership Plan
Billing & Invoicing,Customer Memberships,POST,/salons/{salon_id}/salon_customer_profiles/{salon_customer_profile_id}/customer_memberships,path,yes,salon_id|salon_customer_profile_id,,,yes,201|403|404|422,covered,spec/requests/customer_memberships_create_spec.rb,Sell Membership to Customer
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/action_center/complaints,path,yes,salon_id,,page|per_page,no,200|401|404,GAP,,Action Center — customer complaints
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/action_center/low_stock,path,yes,salon_id,,page|per_page,no,200|401|404,covered,spec/requests/dashboard/action_center_spec.rb,Action Center — low stock products
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/action_center/membership_renewals,path,yes,salon_id,,page|per_page,no,200|401|404,GAP,,Action Center — membership renewals
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/analytics,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,"Analytics tab — growth, retention, trend, segments"
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/attendance,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,Attendance tab — today's roster + summary + shift coverage
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/employees,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,Employees tab — headcount + per-staff performance
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/expenses,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,Expenses tab — debit summary + recent
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/insights,path,yes,salon_id,,range|refresh|limit,no,200|401|404|422|429,covered,spec/requests/dashboard/insights_spec.rb,AI Business Insights row
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/inventory,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,Inventory tab — stock state + sold in range
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/meta,path,yes,salon_id,,,no,200|401|404,covered,spec/requests/dashboard/meta_spec.rb,Dashboard lookups and feature flags
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/overview,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered,spec/requests/dashboard/action_center_spec.rb,Overview (Sales) tab — 6 KPI cards + breakdowns
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/packages,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,"Packages tab — plans, sales, expiring, performance"
Business Dashboard,Dashboard,GET,/salons/{salon_id}/dashboard/reminders,path,yes,salon_id,,range|refresh,no,200|401|404|422|429,covered (loop),spec/requests/dashboard/read_tabs_spec.rb,Reminders tab — follow-up tasks
Business Dashboard,Enquiries,GET,/salons/{salon_id}/enquiries,path,yes,salon_id,,q|status|sort|page|per_page,no,200|400|401|404|429,covered,spec/requests/enquiries_hardening_spec.rb,Enquiries list with status summary
Business Dashboard,Enquiries,POST,/salons/{salon_id}/enquiries,path,yes,salon_id,,,yes,201|401|404|409|422|429,covered,spec/requests/enquiries_hardening_spec.rb,Log a new enquiry
Business Dashboard,Enquiries,GET,/salons/{salon_id}/enquiries/export,path,yes,salon_id,,q|status|sort,no,200|401|404|429,covered,spec/requests/enquiries_hardening_spec.rb,Export the filtered enquiry list as CSV
Business Dashboard,Enquiries,GET,/salons/{salon_id}/enquiries/sources,path,yes,salon_id,,,no,200|401|404,covered,spec/requests/enquiries_hardening_spec.rb,Allowed lead sources for the Add Enquiry dropdown
Business Dashboard,Enquiries,DELETE,/salons/{salon_id}/enquiries/{id},path,yes,salon_id|id,,,no,200|401|404|429,covered,spec/requests/enquiries_spec.rb,Delete an enquiry
Business Dashboard,Enquiries,GET,/salons/{salon_id}/enquiries/{id},path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/enquiries_hardening_spec.rb,Fetch one enquiry
Business Dashboard,Enquiries,PATCH,/salons/{salon_id}/enquiries/{id},path,yes,salon_id|id,,,yes,200|401|404|422|429,covered,spec/requests/enquiries_hardening_spec.rb,Update an enquiry
Business Dashboard,Enquiries,POST,/salons/{salon_id}/enquiries/{id}/convert,path,yes,salon_id|id,,,no,200|401|404|409|429,covered,spec/requests/enquiries_hardening_spec.rb,Convert a lead into a salon customer
Business Dashboard,Reminders,GET,/salons/{salon_id}/follow_up_tasks,path,yes,salon_id,,status|task_type|scope|due_on|assigned_to_id|page|per_page,no,200|400|401|404,covered,spec/requests/follow_up_tasks_spec.rb,Reminders list with the four KPI counts
Business Dashboard,Reminders,POST,/salons/{salon_id}/follow_up_tasks,path,yes,salon_id,,,yes,201|401|404|422|429,covered,spec/requests/follow_up_tasks_spec.rb,Create a manual reminder
Business Dashboard,Reminders,DELETE,/salons/{salon_id}/follow_up_tasks/{id},path,yes,salon_id|id,,,no,200|401|404|429,GAP,,Delete a reminder
Business Dashboard,Reminders,GET,/salons/{salon_id}/follow_up_tasks/{id},path,yes,salon_id|id,,,no,200|401|404,GAP,,Fetch one reminder
Business Dashboard,Reminders,PATCH,/salons/{salon_id}/follow_up_tasks/{id},path,yes,salon_id|id,,,yes,200|401|404|422|429,GAP,,Edit or reassign a reminder
Business Dashboard,Reminders,POST,/salons/{salon_id}/follow_up_tasks/{id}/complete,path,yes,salon_id|id,,,no,200|401|404|429,GAP,,Tick a reminder off
Business Dashboard,Reminders,POST,/salons/{salon_id}/follow_up_tasks/{id}/dismiss,path,yes,salon_id|id,,,no,200|401|404|429,GAP,,Dismiss a reminder
Business Dashboard,Reminders,POST,/salons/{salon_id}/follow_up_tasks/{id}/snooze,path,yes,salon_id|id,,,yes,200|401|404|409|422|429,GAP,,Push a reminder out without losing it
Reports,Appointments Report,GET,/salons/{salon_id}/reports/appointments/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|status|staff_id|q,no,200|401|403|404|422,covered,spec/requests/reports/appointments_spec.rb,Appointments Report — paginated table rows
Reports,Appointments Report,GET,/salons/{salon_id}/reports/appointments/summary,path,yes,salon_id,,range|from|to|status|staff_id|q,no,200|401|403|404|422,covered,spec/requests/reports/appointments_spec.rb,Appointments Report — KPI tiles and charts
Reports,Catalogue,GET,/salons/{salon_id}/reports/catalogue,path,yes,salon_id,,,no,200|401|403|404,covered,spec/requests/reports/catalogue_spec.rb,"List all reports, their columns, filters and available ranges"
Reports,Customer Report,GET,/salons/{salon_id}/reports/customers/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|segment|customer_type|activity_status|min_visits|min_spend|q,no,200|401|403|404|422,covered,spec/requests/reports/customers_spec.rb,Customer Report — paginated table rows
Reports,Customer Report,GET,/salons/{salon_id}/reports/customers/summary,path,yes,salon_id,,range|from|to|segment|customer_type|activity_status|min_visits|min_spend|q,no,200|401|403|404|422,covered,spec/requests/reports/customers_spec.rb,Customer Report — KPI tiles and charts
Reports,Expense Report,GET,/salons/{salon_id}/reports/expenses/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|category_id|payment_mode|status|min_amount|max_amount|q,no,200|401|403|404|422,covered,spec/requests/reports/expenses_spec.rb,Expense Report — paginated table rows
Reports,Expense Report,GET,/salons/{salon_id}/reports/expenses/summary,path,yes,salon_id,,range|from|to|category_id|payment_mode|status|min_amount|max_amount|q,no,200|401|403|404|422,covered,spec/requests/reports/expenses_spec.rb,Expense Report — KPI tiles and charts
Reports,Inventory & Stock Report,GET,/salons/{salon_id}/reports/inventory/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|category_id|brand_id|stock_status|q,no,200|401|403|404|422,covered,spec/requests/reports/inventory_spec.rb,Inventory & Stock Report — paginated table rows
Reports,Inventory & Stock Report,GET,/salons/{salon_id}/reports/inventory/summary,path,yes,salon_id,,range|from|to|category_id|brand_id|stock_status|q,no,200|401|403|404|422,covered,spec/requests/reports/inventory_spec.rb,Inventory & Stock Report — KPI tiles and charts
Reports,Marketing & Campaign Report,GET,/salons/{salon_id}/reports/marketing/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|channel|status|q,no,200|401|403|404|422,covered,spec/requests/reports/marketing_spec.rb,Marketing & Campaign Report — paginated table rows
Reports,Marketing & Campaign Report,GET,/salons/{salon_id}/reports/marketing/summary,path,yes,salon_id,,range|from|to|channel|status|q,no,200|401|403|404|422,covered,spec/requests/reports/marketing_spec.rb,Marketing & Campaign Report — KPI tiles and charts
Reports,Payments Report,GET,/salons/{salon_id}/reports/payments/rows,path,yes,salon_id,,range|from|to|page|per_page|sort|columns|payment_mode|settlement_status|status|q,no,200|401|403|404|422,covered,spec/requests/reports/payments_spec.rb,Payments Report — paginated table rows
Reports,Payments Report,GET,/salons/{salon_id}/reports/payments/summary,path,yes,salon_id,,range|from|to|payment_mode|settlement_status|status|q,no,200|401|403|404|422,covered,spec/requests/reports/payments_spec.rb,Payments Report — KPI tiles and charts
Reports,Net Profit Report,GET,/salons/{salon_id}/reports/profit/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|category|q,no,200|401|403|404|422,covered,spec/requests/reports/profit_spec.rb,Net Profit Report — paginated table rows
Reports,Net Profit Report,GET,/salons/{salon_id}/reports/profit/summary,path,yes,salon_id,,range|from|to|category|q,no,200|401|403|404|422,covered,spec/requests/reports/profit_spec.rb,Net Profit Report — KPI tiles and charts
Reports,Sales Report,GET,/salons/{salon_id}/reports/sales/rows,path,yes,salon_id,,range|from|to|page|per_page|sort|columns|status|payment_mode|min_amount|max_amount|q,no,200|401|403|404|422,covered,spec/requests/reports/sales_spec.rb,Sales Report — paginated table rows
Reports,Sales Report,GET,/salons/{salon_id}/reports/sales/summary,path,yes,salon_id,,range|from|to|status|payment_mode|min_amount|max_amount|q,no,200|401|403|404|422,covered,spec/requests/reports/sales_spec.rb,Sales Report — KPI tiles and charts
Reports,Service Performance Report,GET,/salons/{salon_id}/reports/services/rows,path,yes,salon_id,,range|from|to|page|per_page|sort|columns|category_id|min_price|max_price|q,no,200|401|403|404|422,covered,spec/requests/reports/services_spec.rb,Service Performance Report — paginated table rows
Reports,Service Performance Report,GET,/salons/{salon_id}/reports/services/summary,path,yes,salon_id,,range|from|to|category_id|min_price|max_price|q,no,200|401|403|404|422,covered,spec/requests/reports/services_spec.rb,Service Performance Report — KPI tiles and charts
Reports,Staff Performance Report,GET,/salons/{salon_id}/reports/staff_performance/rows,path,yes,salon_id,,range|from|to|page|limit|sort|columns|staff_id|min_rating|q,no,200|401|403|404|422,covered,spec/requests/reports/staff_performance_spec.rb,Staff Performance Report — paginated table rows
Reports,Staff Performance Report,GET,/salons/{salon_id}/reports/staff_performance/summary,path,yes,salon_id,,range|from|to|staff_id|min_rating|q,no,200|401|403|404|422,covered,spec/requests/reports/staff_performance_spec.rb,Staff Performance Report — KPI tiles and charts
Reports,Exports,GET,/salons/{salon_id}/reports/{report_key}/download,path,yes,salon_id|report_key,,range|from|to,no,200|400|401|403|404|422,covered,spec/requests/reports/sync_download_spec.rb,Download a report as CSV synchronously
Reports,Catalogue,GET,/salons/{salon_id}/reports/{report_key}/filters,path,yes,salon_id|report_key,,,no,200|400|401|403|404,covered,spec/requests/reports/filters_spec.rb,Dynamic filter options for one report
Salon Settings,Config,DELETE,/salons/{id}/logo,path,yes,id,,,no,200|403,covered,spec/requests/salon_profile_update_spec.rb,Remove the salon logo
Salon Settings,Holidays,GET,/salons/{salon_id}/holidays,path,yes,salon_id,,,no,200|403|404,covered,spec/requests/salon_holidays_spec.rb,List holidays
Salon Settings,Holidays,POST,/salons/{salon_id}/holidays,path,yes,salon_id,,,yes,201|403|404|422,covered,spec/requests/salon_holidays_spec.rb,Add a holiday
Salon Settings,Holidays,PUT,/salons/{salon_id}/holidays,path,yes,salon_id,,,yes,200|403|422,covered,spec/requests/salon_holidays_bulk_spec.rb,Replace the whole holiday list
Salon Settings,Holidays,DELETE,/salons/{salon_id}/holidays/{id},path,yes,salon_id|id,,,no,200|403|404,covered,spec/requests/salon_holidays_spec.rb,Remove a holiday
Salon Settings,Notifications,GET,/salons/{salon_id}/notification_preferences,path,yes,salon_id,,,no,200|403,covered,spec/requests/salon_notification_preferences_spec.rb,Get notification preferences
Salon Settings,Notifications,PUT,/salons/{salon_id}/notification_preferences,path,yes,salon_id,,,yes,200|403|422,covered,spec/requests/salon_notification_preferences_spec.rb,Save notification preferences
Salon Settings,Roles & Permissions,GET,/salons/{salon_id}/roles,path,yes,salon_id,,,no,200|403|404,covered,spec/requests/salon_role_permissions_spec.rb,Get the role/permission matrix
Salon Settings,Roles & Permissions,PUT,/salons/{salon_id}/roles,path,yes,salon_id,,,yes,200|403|422,covered,spec/requests/salon_role_permissions_spec.rb,Replace the role/permission matrix
Salon Settings,Config,GET,/salons/{salon_id}/settings,path,yes,salon_id,,,no,200|403|404,covered,spec/requests/salon_notification_preferences_spec.rb,Get salon settings
Salon Settings,Config,PUT,/salons/{salon_id}/settings,path,yes,salon_id,,,yes,200|400|403|404|422,covered,spec/requests/salon_notification_preferences_spec.rb,Update salon settings
Salon Settings,Taxes (GST),PUT,/salons/{salon_id}/taxes,path,yes,salon_id,,,yes,200|400|403|404|422,covered,spec/requests/salon_taxes_spec.rb,Update GST settings
Salon Settings,Business Hours,GET,/salons/{salon_id}/working_days,path,yes,salon_id,,,no,200|403|404,covered,spec/requests/salon_working_days_spec.rb,List weekly working hours
Salon Settings,Business Hours,PUT,/salons/{salon_id}/working_days,path,yes,salon_id,,,yes,200|403|404|422,covered,spec/requests/salon_working_days_spec.rb,Save weekly working hours
Salon Setup,Lookups,GET,/profile_attribute_options,global,yes,,,category,no,200|401,covered,spec/requests/profile_attribute_options_spec.rb,Profile Form Dropdown Options
Salon Setup,Services,DELETE,/salon_services,global,yes,,ids,ids,no,200|400|401,covered,spec/requests/salon_services_authorization_spec.rb,Delete several services (DELETE alternative)
Salon Setup,Services,GET,/salon_services,query,yes,,salon_id,salon_id|category|status|gender|q|sort|page|per_page,no,200|400,covered,spec/requests/salon_services_export_spec.rb,List services
Salon Setup,Services,POST,/salon_services,global,yes,,,,no,201|400|401|422,covered,spec/requests/salon_services_authorization_spec.rb,Add a service
Salon Setup,Services,POST,/salon_services/bulk_create,global,yes,,,,no,201|400|401,covered,spec/requests/salon_services_authorization_spec.rb,Commit a bulk service upload
Salon Setup,Services,POST,/salon_services/bulk_delete,global,yes,,,,no,200|400|401,covered,spec/requests/salon_services_authorization_spec.rb,Delete several services
Salon Setup,Services,GET,/salon_services/categories,query,yes,,salon_id,salon_id,no,200|400,covered,spec/requests/salon_services_summary_spec.rb,Categories this salon offers
Salon Setup,Services,POST,/salon_services/export,global,yes,,mobile,mobile,no,200|401,covered,spec/requests/salon_services_authorization_spec.rb,Export a salon's services as CSV (admin tool)
Salon Setup,Services,GET,/salon_services/export_all,query,yes,,salon_id,salon_id|format,no,200|400,covered,spec/requests/salon_services_export_spec.rb,Export the filtered service list as CSV
Salon Setup,Services,GET,/salon_services/summary,query,yes,,salon_id,salon_id|category|status|gender|q,no,200|400,covered,spec/requests/salon_services_summary_spec.rb,Service catalogue stat cards
Salon Setup,Services,POST,/salon_services/validate_bulk_create,global,yes,,,,no,200|400|401,covered,spec/requests/salon_services_validate_bulk_spec.rb,Preview a bulk service upload
Salon Setup,Services,DELETE,/salon_services/{id},token-only/IDOR,yes,id,,,no,200|401|404,covered,spec/requests/salon_services_authorization_spec.rb,Delete a service
Salon Setup,Services,PUT,/salon_services/{id},token-only/IDOR,yes,id,,,no,200|400|401|404|422,covered,spec/requests/salon_services_authorization_spec.rb,Update a service
Salon Setup,Services,PATCH,/salon_services/{id}/status,token-only/IDOR,yes,id,,,no,200|400|401|404,covered,spec/requests/salon_services_authorization_spec.rb,Toggle a service active or inactive
